% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.375520686e+05 +4.375520686e+05 +4.376758986e+05 +4.376758986e+05 -3.2860e+00 -2.6175e+00 -4.7646e+00 -3.9385e+00 +2.0328e+00 +3.7719e+00 -3.8142e+00 +2.4269e+00 -4.2889e-02 +1.8001e+00 +2.3406e+00 -4.3985e+00 -2.6694e+00 -4.1020e+00 -8.6191e-01 -4.3456e+00 -9.5717e-01 -2.9922e+00 +3.5483e+00 +1.5218e+00
3 +2.012570807e+05 +2.012570807e+05 +2.013809107e+05 +2.013809107e+05 -2.7883e+00 +3.2367e+00 +3.2038e+00 -2.3728e+00 -1.7631e+00 +1.2824e+00 -2.2339e+00 +3.2181e-01 +3.3214e+00 -4.7723e+00 -2.5354e+00 +2.1109e+00 -3.8353e+00 +4.8947e-01 +4.8087e+00 -1.6045e-01 -3.1572e-01 +2.3681e+00 +3.9092e-01 -2.6582e+00
10 +5.913666214e+04 +5.913666214e+04 +5.926049214e+04 +5.926049214e+04 +1.9520e+00 +2.3819e-01 +3.1553e+00 -3.3116e+00 +1.3861e+00 +2.0007e+00 -6.1434e-01 -9.0171e-01 +6.6667e-01 -1.3287e+00 -1.1056e+00 -4.3391e+00 -1.2479e+00 +2.0574e+00 +4.2270e+00 -5.2495e-01 +6.1344e-01 +1.4911e+00 -1.0668e+00 -2.1836e-01
% function evaluation | noise-free fitness - Fopt (4.751000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.922636432e+05 +4.922636432e+05 +4.923111532e+05 +4.923111532e+05 -2.9858e+00 +4.6513e+00 +3.3910e+00 -3.7769e+00 -9.3018e-01 -4.1152e+00 -2.2033e+00 +2.8163e+00 +2.4646e-01 +4.8756e+00 -1.9003e+00 +3.1417e-01 -5.1897e-01 +2.3308e+00 +4.5495e+00 +1.5838e+00 -2.0250e+00 -4.4265e+00 +3.7451e+00 +4.7407e+00
3 +2.932883290e+05 +2.932883290e+05 +2.933358390e+05 +2.933358390e+05 +3.8606e+00 -2.7616e+00 +2.6687e+00 +4.7217e+00 +2.0477e+00 -1.6935e+00 +7.6590e-01 -4.5879e+00 -1.9001e+00 +1.3521e-01 +1.2967e-01 -2.7761e+00 -3.6285e-01 +4.6981e+00 +3.7343e+00 -2.8394e+00 +3.6237e+00 +3.4236e-01 -7.7003e-01 -3.5752e+00
4 +1.999683584e+05 +1.999683584e+05 +2.000158684e+05 +2.000158684e+05 -2.4860e+00 +2.1179e-01 -2.4021e-01 +4.6939e+00 -3.7152e+00 -1.6450e+00 -3.9983e-01 -1.6074e+00 +2.5018e+00 +4.2627e+00 +9.6857e-03 -7.7146e-01 -4.1078e+00 -2.8280e+00 -2.2958e+00 -1.4606e+00 +7.1798e-01 +2.1629e+00 -1.8889e+00 +5.2159e-01
18 +1.333464517e+05 +1.333464517e+05 +1.333939617e+05 +1.333939617e+05 -1.5702e+00 +2.9227e-01 +3.3710e+00 -2.6592e+00 +4.8177e+00 +2.7303e+00 -3.6599e+00 -1.2585e+00 -2.0973e+00 -3.4058e-01 -6.6214e-02 +2.1186e+00 +4.3242e+00 -2.9901e+00 +1.4941e+00 +2.8427e+00 +1.6009e+00 +3.2317e+00 +7.5128e-01 -1.4358e+00
93 +4.820706281e+04 +4.820706281e+04 +4.825457281e+04 +4.825457281e+04 +4.4582e+00 -3.2658e+00 +4.4958e+00 -1.4649e+00 -4.3712e+00 -3.3014e+00 -3.0435e+00 -1.7779e+00 +2.6449e+00 -4.7179e+00 +2.3740e+00 +3.3363e-01 -4.6880e+00 +1.6872e+00 +1.2918e+00 -3.5334e+00 +4.0041e+00 +9.1007e-01 -1.3239e+00 +1.5905e+00
% function evaluation | noise-free fitness - Fopt (5.534000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
