% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.418505114e+03 +1.418505114e+03 +2.418505114e+03 +2.418505114e+03 -4.8597e+00 -3.8898e+00 -1.9530e-01 -3.4269e+00 -2.4682e+00 -3.3015e+00 -3.3240e-01 +3.4369e+00 -8.0300e-02 -9.2910e-01 +3.4340e-01 +3.1568e+00 -1.4495e-01 +1.7750e+00 +4.7177e+00 -4.6479e+00 +3.3029e+00 -2.0317e+00 +1.7275e+00 +8.9264e-01
3 +9.142087388e+02 +9.142087388e+02 +1.914208739e+03 +1.914208739e+03 +3.9303e+00 +2.6283e+00 +3.6746e+00 +1.0655e+00 +2.2220e+00 -7.6725e-01 -1.7921e+00 -2.0568e+00 +4.2197e+00 -1.0584e+00 +7.1407e-01 -3.5989e+00 +1.2333e+00 +2.7682e+00 +3.3988e+00 +3.6759e+00 +3.3520e+00 +3.4168e+00 -3.9106e+00 +3.4073e-01
144 +6.249117516e+02 +6.249117516e+02 +1.624911752e+03 +1.624911752e+03 -2.5341e+00 +1.3356e+00 +1.4306e+00 +1.3113e+00 +3.6874e+00 -1.4760e+00 -2.1510e+00 +2.1073e+00 -4.6606e+00 +1.9599e+00 -4.8777e+00 -2.1118e-01 -2.0011e+00 -1.2851e+00 +4.1310e+00 -2.8940e+00 +4.0822e+00 -8.4940e-02 +4.4098e+00 +1.3438e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.128656385e+03 +2.128656385e+03 +2.198686385e+03 +2.198686385e+03 -3.6752e+00 -8.7092e-01 -3.0185e-01 +1.5424e+00 +2.7829e+00 +4.2094e+00 -1.2698e+00 -7.7751e-01 -4.7236e+00 +3.0737e+00 +2.2813e+00 +4.4095e+00 +2.5341e-01 -4.7570e+00 -4.4826e+00 +4.0847e-01 +2.9559e+00 +1.6603e+00 -3.0892e+00 -2.7933e-01
3 +8.795806368e+02 +8.795806368e+02 +9.496106368e+02 +9.496106368e+02 -4.2432e+00 +2.7306e+00 +2.1266e+00 +1.2397e+00 +9.7995e-01 -4.1128e+00 -5.8592e-01 +2.1039e+00 -3.8878e+00 +3.9016e+00 -8.2569e-01 -4.8998e+00 +3.7159e+00 -1.0811e+00 -5.2680e-01 +3.3013e+00 -3.4589e+00 +1.3170e+00 -4.2328e+00 +2.0651e+00
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.124151804e+03 +2.124151804e+03 +2.075931804e+03 +2.075931804e+03 -2.5360e+00 +5.5076e-01 -3.9755e+00 -1.1493e+00 +6.3012e-01 -1.0790e+00 +1.7685e+00 +2.5098e+00 -1.3077e+00 -1.8952e+00 +9.6835e-01 -3.2577e+00 -4.1208e+00 +3.2495e-01 +2.6768e+00 +2.3951e+00 -4.2435e+00 +2.6438e+00 -2.9266e-01 +3.1697e+00
4 +1.203373004e+03 +1.203373004e+03 +1.155153004e+03 +1.155153004e+03 -1.1464e+00 -1.0268e-03 +3.2506e+00 -3.7386e+00 -2.7295e+00 -1.3759e+00 -1.0606e+00 +1.5943e+00 -4.6137e+00 -7.5414e-01 +4.6861e+00 +4.3457e+00 -4.2282e+00 +3.0974e+00 +3.8235e+00 -8.2434e-01 -9.0277e-01 +3.4978e+00 -2.9933e+00 -9.3295e-01
5 +9.845187059e+02 +9.845187059e+02 +9.362987059e+02 +9.362987059e+02 -3.3119e+00 -2.3244e+00 +3.2423e-01 -2.6360e+00 +2.4299e-01 +5.6070e-01 +2.4810e+00 -4.0767e+00 -4.4323e+00 -8.6263e-01 -4.9239e+00 -3.9011e+00 +4.0740e+00 +1.7599e-01 -4.3505e+00 -3.2285e+00 -2.2655e+00 +2.3477e+00 +3.1476e+00 +2.7019e+00
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.888719363e+03 +2.888719363e+03 +2.914189363e+03 +2.914189363e+03 +3.7384e+00 +5.6431e-01 +6.6335e-01 +4.5380e+00 +1.9824e+00 -3.4244e+00 -3.7659e+00 +4.5836e+00 +7.4593e-01 +2.3947e+00 +3.1545e-01 +3.6238e+00 +3.5708e-01 -5.9431e-01 -3.8380e+00 -1.2899e+00 +4.1949e+00 +6.6336e-01 -1.3032e-01 -3.5844e+00
3 +1.954673858e+03 +1.954673858e+03 +1.980143858e+03 +1.980143858e+03 +2.1057e+00 +9.0035e-01 -1.0436e+00 -9.5220e-01 -3.7980e+00 -2.6472e+00 -4.2659e+00 +1.3687e-01 -2.9349e+00 +8.8985e-01 +3.8905e+00 -1.4392e+00 -9.1311e-01 +9.9636e-03 +7.8465e-01 -2.4363e+00 -3.4540e+00 -2.0852e+00 +1.4693e+00 +8.6145e-01
18 +1.127981090e+03 +1.127981090e+03 +1.153451090e+03 +1.153451090e+03 -3.6684e+00 +8.4743e-01 -1.9218e+00 -3.0161e+00 -3.4875e+00 +3.4068e+00 -4.4383e+00 -3.8063e+00 +3.3908e+00 -1.2709e+00 +3.7936e+00 -4.8948e-01 +1.5275e+00 +1.9613e-01 -3.7407e+00 -1.2787e+00 +6.1828e-01 +1.1792e+00 +3.9130e+00 +2.3606e+00
43 +7.656123067e+02 +7.656123067e+02 +7.910823067e+02 +7.910823067e+02 -3.9768e+00 +1.6688e+00 -1.4125e+00 -3.4500e+00 +2.7078e+00 +4.5937e+00 -1.0649e-01 +2.4925e+00 -1.6702e-01 -9.0025e-02 -3.2644e+00 -3.1198e+00 +4.5348e+00 +7.7245e-01 +3.2293e+00 -3.6641e+00 +2.9389e+00 -4.9414e+00 +1.9507e+00 -2.9683e+00
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.602046414e+03 +1.602046414e+03 +1.501236414e+03 +1.501236414e+03 -4.5851e+00 -9.4820e-01 +4.0724e+00 -1.5993e+00 +3.7538e+00 -1.5915e+00 +3.2059e+00 -2.0776e+00 +2.4292e+00 +8.9515e-01 -4.9978e+00 +3.9426e+00 -3.5258e+00 -1.5072e+00 -9.0987e-01 +1.0137e+00 -2.3907e+00 -5.0267e-01 +4.1514e-01 +3.0755e+00
2 +1.360610282e+03 +1.360610282e+03 +1.259800282e+03 +1.259800282e+03 -2.1505e+00 -4.4454e+00 +4.7413e+00 +4.1276e+00 -1.3262e+00 -9.0720e-01 +3.1692e+00 +1.7271e+00 -4.1919e+00 +2.0372e-02 -2.8592e-01 -4.2601e+00 +3.9376e-01 -3.3495e+00 -4.1877e+00 -9.1901e-01 +4.0276e+00 -9.3084e-01 -4.7650e+00 +4.0551e+00
27 +9.647597015e+02 +9.647597015e+02 +8.639497015e+02 +8.639497015e+02 -2.6296e+00 -4.3682e+00 -2.1676e+00 -1.3393e+00 +3.2191e+00 -1.4462e+00 -3.1955e-01 -2.4150e+00 -4.5929e+00 +1.2093e+00 -4.4558e+00 +2.4688e+00 +1.1009e+00 -2.7607e+00 +1.4799e+00 -7.9249e-01 -7.4040e-01 -1.1095e+00 +2.0872e+00 -1.5095e+00
% function evaluation | noise-free fitness - Fopt (4.017300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.871331890e+03 +1.871331890e+03 +2.273061890e+03 +2.273061890e+03 -3.1122e+00 -2.7013e+00 +1.7675e+00 +1.3901e+00 -4.4429e+00 -1.1282e+00 +7.8869e-01 -8.4737e-01 +1.3602e+00 -2.8083e+00 +4.0491e+00 -7.5231e-01 +1.4742e+00 +2.2535e+00 +2.2045e+00 +2.0828e+00 +2.0138e+00 -3.0951e+00 +6.8327e-01 -3.1772e+00
3 +9.989867597e+02 +9.989867597e+02 +1.400716760e+03 +1.400716760e+03 +3.5962e+00 -9.0813e-01 +1.4424e+00 -7.8921e-01 -3.7065e+00 +4.2847e+00 -4.4509e+00 -2.9811e+00 +1.0382e+00 -3.2902e+00 +4.2467e+00 -1.0804e+00 -7.5272e-01 -1.1170e-01 -6.2584e-01 +1.2351e-01 +5.2954e-01 -2.9235e+00 +4.4678e+00 +2.4634e+00
88 +5.882595942e+02 +5.882595942e+02 +9.899895942e+02 +9.899895942e+02 +3.8998e+00 -3.7754e-01 -1.1005e+00 -2.2340e+00 +8.6532e-01 +2.3465e+00 -7.2158e-02 -2.8601e+00 -2.9275e+00 -8.1380e-01 +6.7714e-01 +1.4255e+00 +4.1512e+00 -2.8516e+00 -1.8756e+00 +2.2023e-01 +1.4022e+00 -6.4449e-02 -2.2249e+00 -4.8311e-01
% function evaluation | noise-free fitness - Fopt (-9.575000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.015937264e+03 +2.015937264e+03 +1.920187264e+03 +1.920187264e+03 -1.4469e+00 +1.3126e+00 +3.9403e-01 -1.9507e-01 -7.6885e-01 +4.2325e+00 -9.6864e-01 -3.9836e+00 -3.1563e+00 -5.0715e-01 +2.7321e+00 +1.4374e+00 -4.4073e+00 +4.1019e-04 +4.4582e+00 +2.3125e+00 -3.4291e-01 +3.9626e+00 +4.3074e+00 -8.3687e-01
3 +1.411425551e+03 +1.411425551e+03 +1.315675551e+03 +1.315675551e+03 +1.0211e+00 -3.6870e+00 +1.0527e+00 +2.9453e+00 -3.4297e+00 +9.4979e-01 +4.5928e-01 +2.8116e+00 +1.1273e+00 -4.6249e-02 -3.3410e+00 +4.3938e+00 -4.0805e-01 -1.9327e+00 -2.4207e-01 -1.5715e+00 -4.3998e+00 +1.6125e+00 +7.5137e-01 +2.9466e+00
15 +9.300336681e+02 +9.300336681e+02 +8.342836681e+02 +8.342836681e+02 +4.3467e+00 +1.4559e+00 +3.2025e+00 +2.1625e+00 +3.3189e+00 +4.0948e-01 +3.2139e+00 +3.1759e+00 -1.3267e+00 -7.6311e-01 +2.0780e+00 +3.3519e+00 -3.2043e+00 +6.8642e-01 -3.0697e+00 -3.5149e+00 +3.4915e+00 -1.1697e+00 +9.5882e-01 +1.2376e+00
41 +5.958400293e+02 +5.958400293e+02 +5.000900293e+02 +5.000900293e+02 -4.7826e-01 -7.4785e-01 -1.2548e+00 +3.0925e+00 -1.1613e+00 -1.7823e+00 -5.8357e-01 +4.0366e+00 -2.3354e+00 +1.1186e+00 +2.7655e-01 -2.4430e+00 +2.1141e+00 -2.6636e+00 -2.0242e+00 -8.7219e-01 +3.4379e+00 +2.5161e+00 -1.0559e+00 -3.1419e+00
% function evaluation | noise-free fitness - Fopt (-9.136000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.646408877e+03 +1.646408877e+03 +1.555048877e+03 +1.555048877e+03 +3.4807e+00 -3.2359e+00 -4.3158e+00 +2.8084e+00 +4.3746e+00 -4.9338e+00 +9.9380e-01 +4.4285e+00 +9.1280e-01 +1.5132e+00 -3.9704e+00 +1.6433e+00 -2.3490e-01 -2.0434e+00 +1.3198e+00 -3.2792e+00 -3.7274e-01 +2.6913e+00 -3.5598e+00 +2.8356e+00
2 +1.079969202e+03 +1.079969202e+03 +9.886092015e+02 +9.886092015e+02 -2.1116e+00 -9.1549e-01 +8.4590e-03 -8.5233e-01 +2.4495e+00 +3.9552e+00 -2.9290e+00 -1.3757e+00 -3.4115e+00 -1.2971e+00 +4.5234e+00 -3.8166e+00 -1.1922e+00 +6.7368e-01 -4.5495e+00 -2.2252e+00 +3.7204e+00 +4.8359e-01 +2.6698e+00 +4.6654e+00
4 +9.028092921e+02 +9.028092921e+02 +8.114492921e+02 +8.114492921e+02 +1.4110e+00 +1.9413e-01 +1.2577e-01 -2.4536e+00 +4.9419e+00 +1.6353e+00 -2.9127e+00 +4.0552e+00 -9.8737e-01 +3.8298e+00 -1.1457e+00 -4.2796e+00 +2.4379e+00 -6.9030e-01 +3.4323e+00 +3.3459e+00 +7.5521e-01 +3.3268e+00 +2.5959e+00 +1.6457e+00
% function evaluation | noise-free fitness - Fopt (2.315300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.700649846e+03 +1.700649846e+03 +1.932179846e+03 +1.932179846e+03 +4.1833e+00 +3.4613e+00 +1.5654e+00 -3.9342e+00 +4.8942e+00 -4.5083e+00 -1.8939e+00 +1.5589e+00 -2.6087e+00 -2.1340e+00 +3.0798e+00 -2.9870e+00 -1.3399e+00 -4.9926e+00 +3.4263e+00 +2.0219e+00 -2.1618e+00 +3.7495e+00 -2.6607e+00 +2.4858e+00
2 +9.865882632e+02 +9.865882632e+02 +1.218118263e+03 +1.218118263e+03 -1.5933e+00 +3.5926e+00 +3.4783e+00 +4.5148e+00 +2.3150e+00 -2.7417e+00 -2.3239e+00 +4.2170e+00 -6.5972e-01 -8.3417e-02 -4.5325e+00 -3.6200e+00 -2.0332e+00 -1.8264e+00 +2.1278e+00 +4.3006e+00 -6.4403e-02 -2.4116e+00 -1.1185e+00 +9.5969e-02
% function evaluation | noise-free fitness - Fopt (-1.397700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.731888783e+03 +1.731888783e+03 +1.592118783e+03 +1.592118783e+03 -2.1869e+00 -3.6377e+00 +2.7963e-01 +1.7242e+00 -4.3784e+00 -4.3270e+00 +2.0895e+00 +2.6521e+00 +1.2273e+00 -3.7908e-01 +2.2389e+00 +2.4192e+00 -1.8653e+00 +3.3207e+00 +4.2090e+00 +4.8939e-01 -2.7290e+00 +3.4493e+00 +1.7104e-01 +7.9832e-01
7 +1.321365803e+03 +1.321365803e+03 +1.181595803e+03 +1.181595803e+03 -3.5131e+00 -6.6995e-01 -4.1562e+00 -3.0966e-01 -4.4203e-01 -4.6129e+00 -1.8241e+00 -3.8863e+00 -3.8371e+00 +4.9698e+00 -2.6599e+00 -5.4399e-01 -2.6086e+00 -1.9686e+00 -2.5024e+00 +4.0934e+00 +4.7054e+00 +5.3452e-02 +3.0048e+00 -2.6538e+00
108 +9.343657568e+02 +9.343657568e+02 +7.945957568e+02 +7.945957568e+02 -1.5174e+00 -2.9489e+00 -3.7370e+00 -1.3035e-01 +1.2100e+00 -3.0836e+00 +1.0491e+00 -3.9799e+00 -4.5226e+00 -1.4554e+00 +3.2891e+00 -5.4306e-01 -4.5353e+00 +1.7954e+00 +1.7696e+00 +1.7860e+00 -2.7044e-01 -3.8593e+00 +7.4478e-01 +2.0472e+00
% function evaluation | noise-free fitness - Fopt (9.830000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.938837312e+03 +1.938837312e+03 +1.948667312e+03 +1.948667312e+03 +3.1902e+00 -8.0608e-01 +1.4589e-01 +3.2675e+00 +1.7819e+00 -3.1997e+00 -3.7294e+00 +1.1354e-02 -3.7641e+00 -1.5727e+00 +3.8887e+00 -3.6475e+00 -4.4704e+00 +7.0981e-01 +6.0622e-01 -4.3734e+00 +2.7100e+00 -4.3280e+00 +1.1853e+00 +3.9746e+00
13 +1.269294756e+03 +1.269294756e+03 +1.279124756e+03 +1.279124756e+03 -1.5457e+00 -3.2176e+00 -9.8370e-01 -4.2890e+00 +6.5973e-01 +1.5660e+00 +4.5930e+00 +2.5233e+00 +3.0782e+00 -2.3682e+00 +8.4169e-01 -3.2019e-01 -1.1085e+00 -9.2017e-01 -2.7347e+00 -1.5929e+00 -1.1522e+00 -8.5912e-01 -4.9452e+00 +5.2248e-01
90 +8.797217836e+02 +8.797217836e+02 +8.895517836e+02 +8.895517836e+02 +2.6570e+00 +2.5034e+00 +3.2761e+00 -1.4525e+00 -4.6769e+00 +3.7740e+00 -1.5877e+00 -3.1207e+00 +5.3970e-01 -3.2228e+00 -4.0037e+00 -2.5126e-01 +1.1413e+00 -2.7372e+00 -7.0642e-01 +2.9636e+00 +1.3329e+00 -2.8883e+00 +2.3346e+00 +4.7844e+00
% function evaluation | noise-free fitness - Fopt (6.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.516768327e+03 +1.516768327e+03 +1.583978327e+03 +1.583978327e+03 -6.5598e-01 -3.4419e+00 -3.9060e+00 -1.7196e+00 +5.1038e-01 +1.4380e+00 +1.7468e+00 +3.9896e-02 -1.5447e+00 -1.6453e+00 +1.0636e+00 +2.1832e+00 -1.7156e+00 +2.1364e+00 -4.6693e+00 -7.0985e-01 -1.4822e+00 +3.3676e+00 +3.8237e+00 -2.4477e+00
14 +8.164168634e+02 +8.164168634e+02 +8.836268634e+02 +8.836268634e+02 +9.7271e-01 +3.1452e+00 +3.1107e+00 +2.7075e-01 +2.0946e+00 +1.8441e+00 -4.5965e+00 +5.3042e-01 -3.1999e+00 -1.7114e-01 -5.5706e-01 +2.9819e+00 -7.0103e-01 +4.7252e+00 -1.0752e-02 -2.7210e+00 -2.1977e+00 +4.5268e+00 +4.5640e+00 -8.1008e-01
167 +5.179812741e+02 +5.179812741e+02 +5.851912741e+02 +5.851912741e+02 +3.7300e+00 +1.2618e+00 -1.9976e+00 -3.1019e+00 -2.6549e+00 +1.1090e+00 -3.8661e+00 +1.7277e+00 +1.5190e+00 +2.1703e+00 -2.0911e+00 +2.5496e+00 -3.6307e+00 -2.5944e+00 +3.5370e+00 +3.3610e-01 -3.5366e+00 +4.4435e+00 +3.0786e-01 -6.0556e-01
