% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.540757586e+09 +3.540757586e+09 +3.540756964e+09 +3.540756964e+09 +1.3375e+00 -1.9693e+00 +2.8511e+00 -1.2988e+00 +3.9075e+00 +2.5806e+00 -4.7822e+00 -6.5578e-01 +1.2460e+00 -3.9843e+00 +4.8977e+00 -2.6058e+00 +1.3987e+00 +4.4206e+00 -1.0609e+00 +8.7106e-01 +4.6224e+00 +2.0633e+00 +2.9934e+00 -2.5536e+00
2 +7.464065472e+08 +7.464065472e+08 +7.464059261e+08 +7.464059261e+08 -2.9486e+00 +3.1101e+00 -4.0406e+00 +9.0965e-01 -2.1653e+00 +1.7549e+00 +2.7597e+00 -4.4546e-01 -2.0484e-01 +4.4163e+00 +1.7835e-02 -1.6649e+00 +3.2637e+00 +3.6500e+00 +1.5919e+00 +2.1468e+00 -2.8328e+00 -2.9660e+00 +6.5609e-01 +8.9157e-01
12 +4.622439419e+08 +4.622439419e+08 +4.622433208e+08 +4.622433208e+08 +1.4601e+00 +3.9312e+00 -1.1739e+00 -4.4088e+00 -4.1933e+00 +9.5556e-01 +2.3620e+00 -3.1992e+00 +8.1658e-01 -1.0084e+00 -3.7230e+00 +4.6607e+00 -4.8124e+00 -3.8185e+00 +4.9219e+00 -4.6604e+00 -2.2608e+00 +1.8314e+00 -5.6501e-01 +2.8035e+00
36 +2.827355840e+08 +2.827355840e+08 +2.827349629e+08 +2.827349629e+08 +3.0867e+00 +4.5021e+00 -1.2039e+00 -7.1443e-02 -8.7108e-01 +3.1942e+00 -2.5165e+00 +4.9138e+00 -1.2054e+00 -2.9396e+00 +3.2889e+00 +3.9277e+00 +4.8872e+00 -3.6234e+00 +2.4677e+00 -4.1147e+00 +2.6131e+00 -3.0401e+00 +2.1657e+00 +4.9449e+00
200 +2.398756609e+08 +2.398756609e+08 +2.398750398e+08 +2.398750398e+08 +4.9969e+00 -2.2319e-01 -4.2118e+00 -2.5950e+00 +9.6450e-01 +3.1364e+00 +2.7297e-01 +2.9091e+00 +3.5450e+00 +4.8608e+00 +2.3368e+00 +2.8329e+00 +4.3059e+00 -1.9830e+00 +4.6421e+00 -4.2988e+00 +2.3344e+00 +4.4872e-01 +4.3226e+00 +3.9077e+00
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.018564244e+09 +5.018564244e+09 +5.018563989e+09 +5.018563989e+09 -1.3129e+00 +4.3166e+00 -4.7515e+00 +1.8502e+00 +3.2825e+00 +2.1746e+00 -4.4454e-01 -9.2883e-01 +4.4039e+00 +1.5972e-01 -9.0197e-01 -4.9207e+00 +4.6749e+00 +1.1629e+00 -4.6722e+00 -3.1898e+00 +5.8850e-01 -4.2011e+00 +1.3782e+00 +1.5544e+00
2 +2.397821733e+09 +2.397821733e+09 +2.397821478e+09 +2.397821478e+09 -1.0123e+00 +3.5314e+00 -4.0851e-01 -4.7710e+00 +1.7630e-01 -1.2341e+00 -1.2786e+00 +3.6954e+00 -4.6238e+00 -3.8004e+00 +2.8651e+00 -3.0422e+00 +8.8076e-01 -1.5220e+00 +1.7710e+00 -2.5168e-02 -3.7309e+00 -4.5005e+00 -1.3011e+00 -3.2983e+00
6 +1.580839480e+09 +1.580839480e+09 +1.580839226e+09 +1.580839226e+09 +1.6417e+00 +9.8771e-01 -6.8568e-01 -4.9324e+00 +1.9756e+00 -1.9506e+00 -2.6466e+00 -1.3005e+00 -3.5485e+00 +2.3206e+00 -4.3959e+00 +4.4427e+00 -3.1586e+00 -9.8604e-01 -2.2757e+00 +2.4634e+00 -3.7627e+00 -1.2700e+00 -3.8231e-01 +3.8719e+00
13 +4.025177658e+08 +4.025177658e+08 +4.025175110e+08 +4.025175110e+08 +4.8183e+00 +3.1643e+00 +2.0995e+00 -3.3841e+00 -2.8312e+00 -3.7184e-02 +2.1932e+00 +2.0657e+00 +2.4610e+00 -9.0233e-02 +1.8206e-01 +2.6303e-01 +4.0029e+00 +4.6481e+00 +2.1725e+00 -3.2993e+00 +1.1301e+00 +2.4858e+00 -2.6934e+00 +9.3278e-01
60 +3.409804821e+08 +3.409804821e+08 +3.409802273e+08 +3.409802273e+08 +1.3090e+00 +5.2420e-01 +8.4691e-01 +1.9223e+00 -1.4467e+00 +1.5533e+00 +2.5729e+00 +3.8503e+00 -1.9958e+00 +1.5281e+00 +7.4702e-01 -4.2890e+00 -1.2344e+00 -2.3894e+00 -4.5735e+00 -8.2302e-01 +3.9094e+00 +1.8933e+00 +4.8304e-02 +4.1863e+00
64 +1.534824357e+08 +1.534824357e+08 +1.534821808e+08 +1.534821808e+08 +3.2631e+00 +3.3063e+00 +2.6983e-02 -3.8897e+00 -4.2721e+00 -3.0880e+00 +1.1129e+00 +4.2849e+00 +3.7939e+00 +1.4450e+00 -1.0988e+00 +4.5631e+00 +3.4694e+00 -5.1752e-01 -1.6975e+00 -2.8015e+00 +3.6219e+00 +1.0764e+00 +6.6950e-01 +4.7287e+00
% function evaluation | noise-free fitness - Fopt (5.661000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.738399169e+09 +1.738399169e+09 +1.738399226e+09 +1.738399226e+09 -3.4108e+00 +7.8154e-01 +4.0671e+00 +2.0507e+00 -3.9731e+00 +2.7927e+00 +1.5896e-01 +4.7776e-01 -1.3017e+00 +4.8278e+00 -2.4526e+00 +1.5613e+00 +4.8934e+00 +2.6196e+00 +4.4088e+00 +2.5197e+00 -1.9549e+00 -2.1461e+00 +1.4889e+00 +4.6882e+00
6 +6.602816553e+08 +6.602816553e+08 +6.602817119e+08 +6.602817119e+08 +2.2781e+00 -3.0556e+00 +5.2407e-01 -3.1423e+00 -1.8855e+00 -4.2860e+00 -4.3920e+00 +4.3958e+00 -2.0758e+00 +4.0389e+00 +2.2866e+00 -2.4524e+00 +4.6058e+00 +2.7714e+00 +1.8894e+00 +2.4959e-01 -2.9259e+00 +3.1430e-01 +4.5937e+00 +6.1421e-01
