% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.149533590e+06 +7.149533590e+06 +7.149609860e+06 +7.149609860e+06 +3.3068e+00 +9.0815e-01 -2.8579e+00 -1.4644e+00 -4.1863e+00 -4.4414e+00 -1.6689e+00 +4.6845e+00 +1.1567e+00 -1.9164e+00 +2.1453e+00 +1.8671e+00 +2.5868e+00 -2.7222e+00 -3.3083e+00 +1.2001e+00 +2.5978e+00 -7.4184e-01 +1.9774e+00 -1.2374e+00
3 +3.608704777e+06 +3.608704777e+06 +3.608781047e+06 +3.608781047e+06 +4.0209e+00 -4.0869e+00 +7.4165e-01 +4.1749e+00 +4.6821e+00 -4.0479e+00 -3.5626e+00 -4.2528e-01 -2.7862e+00 -3.9413e-01 +3.7487e+00 -6.4436e-01 -4.9568e+00 +3.3324e+00 +4.0094e-01 +3.5567e-01 -2.0664e-01 +1.0344e+00 +2.3735e+00 -2.4941e+00
5 +5.227893075e+05 +5.227893075e+05 +5.228655775e+05 +5.228655775e+05 -1.3041e+00 -2.8294e+00 -5.3538e-01 -1.3856e+00 -2.4304e+00 +3.2910e+00 +3.4859e+00 -3.3859e-01 -3.2981e+00 +3.8693e+00 -2.5659e+00 +1.3021e+00 +2.6950e+00 +1.7041e+00 +4.4986e+00 -3.1325e+00 +1.3777e+00 +6.4452e-02 -2.7775e+00 -7.5831e-01
6 +2.042719856e+05 +2.042719856e+05 +2.043482556e+05 +2.043482556e+05 -1.3908e+00 +4.0042e-01 +3.4935e+00 +1.3119e-01 -5.1566e-01 -4.9488e+00 +4.7309e+00 +4.6467e+00 -1.4686e+00 -3.2599e+00 +4.8103e+00 +7.9836e-01 +2.2877e+00 +3.3048e+00 -1.7927e+00 +3.8313e+00 -1.9375e+00 +4.6673e+00 +4.8592e+00 +1.8695e+00
16 +3.971144843e+03 +3.971144843e+03 +4.047414843e+03 +4.047414843e+03 +3.6873e+00 -1.6104e+00 -4.8129e+00 +2.5867e+00 -8.7846e-01 -3.7358e+00 +1.5373e+00 -4.0905e+00 +1.6201e+00 +1.6425e+00 -4.5473e+00 -2.3535e+00 +4.6797e-01 +1.2451e+00 +4.9241e+00 +2.3253e+00 -1.3428e+00 -5.9893e-01 +1.5116e+00 -4.8614e-01
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.063793014e+07 +1.063793014e+07 +1.063790759e+07 +1.063790759e+07 +2.6408e+00 +2.3643e+00 +3.3483e+00 -1.4514e+00 -4.7318e+00 +8.4682e-01 -1.6539e+00 -1.7977e+00 +4.0133e+00 +1.4845e+00 -4.0745e+00 -3.9075e+00 +3.1583e+00 -2.6314e+00 -3.6166e+00 +4.1326e+00 -8.3954e-01 +2.6395e+00 +9.5444e-01 -3.0931e-01
2 +1.088723564e+04 +1.088723564e+04 +1.086468564e+04 +1.086468564e+04 -3.5060e+00 +4.4240e+00 +2.0164e+00 +4.1643e+00 +6.9847e-01 +4.7369e+00 -1.3815e+00 -2.5904e+00 +3.2689e+00 +4.8915e+00 -4.7179e-01 -7.8033e-03 +4.5677e+00 -1.8533e+00 -2.0088e+00 +3.3308e+00 -4.5343e+00 -4.2542e-01 -2.4857e+00 +6.5203e-01
3 +6.630578510e+03 +6.630578510e+03 +6.608028510e+03 +6.608028510e+03 +1.3172e+00 +1.0529e+00 -8.3465e-01 +4.7328e+00 +1.1702e+00 +2.9300e+00 -3.8760e+00 +3.1549e+00 -2.5560e+00 +4.0856e+00 +4.9937e+00 +4.6627e+00 -4.2332e+00 -4.1814e+00 -7.6160e-01 -3.4276e+00 -4.2164e+00 -3.4122e+00 +3.3956e-01 -4.3927e+00
13 +3.658411248e+03 +3.658411248e+03 +3.635861248e+03 +3.635861248e+03 -3.0598e+00 -4.7353e+00 -3.7084e-01 -6.2094e-01 -2.3702e+00 -4.8730e+00 -2.1765e+00 -4.8361e+00 +2.7413e+00 -2.5065e+00 +4.4806e+00 +2.4611e+00 +2.1817e+00 +1.0395e+00 -7.8968e-02 +3.5936e+00 -4.9316e+00 -4.7502e+00 -1.9995e+00 +1.9505e+00
