% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.476573213e+05 +4.476573213e+05 +4.478064713e+05 +4.478064713e+05 +3.6538e+00 -1.8724e+00 -4.3438e+00 +4.7872e+00 +2.2407e+00 +4.0545e+00 -1.0595e+00 +1.8556e+00 -4.0684e+00 +3.4021e+00 -6.0347e-02 +2.4269e+00 +4.7466e+00 -1.2785e+00 -1.8439e+00 -4.9536e+00 +1.6607e+00 -4.6545e+00 +2.1865e+00 +6.3771e-01
4 +2.701838604e+05 +2.701838604e+05 +2.703330104e+05 +2.703330104e+05 -1.2684e+00 -2.1616e+00 -4.2002e+00 +3.1678e+00 -2.5771e+00 +2.7780e+00 -2.7542e+00 -6.5793e-01 +4.4774e-01 +4.7794e+00 +6.3865e-01 -4.5099e+00 +1.8515e+00 +2.0894e+00 +1.1581e+00 -4.8768e+00 -2.6454e+00 -4.2154e+00 -4.2868e+00 -4.4658e+00
8 +1.633458838e+05 +1.633458838e+05 +1.634950338e+05 +1.634950338e+05 +2.8340e+00 -3.1814e+00 +7.8366e-01 -2.7891e-01 -3.4192e+00 +2.3311e-01 -4.6079e+00 +2.1285e+00 +4.1701e+00 +1.2884e+00 +1.3297e+00 -5.0284e-01 +1.9816e+00 -2.2125e+00 +3.8141e-01 +1.9555e+00 -3.6264e-01 -1.9253e+00 +7.7963e-01 -7.6849e-01
13 +1.366560538e+05 +1.366560538e+05 +1.368052038e+05 +1.368052038e+05 -4.7261e+00 -4.7156e+00 -2.3421e-01 +1.8688e+00 -3.5488e+00 -1.0191e+00 -1.9557e+00 -3.2028e+00 -4.9315e+00 -4.0806e+00 -1.8204e+00 -3.1661e-01 +7.5177e-01 -9.6220e-02 -2.0713e-01 -2.2133e-01 -3.2774e+00 +4.1923e+00 +7.8367e-01 -2.5172e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.670524432e+05 +7.670524432e+05 +7.660524432e+05 +7.660524432e+05 +2.7280e+00 -2.5063e+00 +1.7388e+00 +2.5459e+00 +1.1607e+00 -4.9943e+00 +2.6771e-01 +1.0147e+00 +2.0032e+00 +3.2063e+00 +2.6694e+00 +4.8045e+00 -4.3834e-01 +7.3119e-01 +3.6775e+00 +1.8340e+00 +1.0042e+00 -2.9075e+00 +3.6256e+00 +4.5028e+00
4 +4.304761770e+05 +4.304761770e+05 +4.294761770e+05 +4.294761770e+05 -2.8373e+00 +3.5838e+00 -3.3584e+00 -1.6375e+00 -2.9141e-01 -2.0737e+00 -1.4034e-01 +4.9206e-01 -4.0116e+00 +3.6327e-01 +4.4820e+00 -1.8224e+00 +1.2647e+00 -4.1242e+00 +3.8028e+00 -4.0056e+00 -4.6595e+00 -3.1358e+00 +2.9316e+00 +2.5575e+00
5 +3.726377205e+05 +3.726377205e+05 +3.716377205e+05 +3.716377205e+05 -2.0438e+00 +4.3788e+00 -2.8668e+00 -1.1919e+00 -3.8726e+00 +4.7170e+00 +2.6490e-01 +5.9700e-01 -1.1041e+00 +2.7781e+00 -1.0590e+00 -2.4546e+00 +8.6312e-01 -3.1742e+00 -1.7248e+00 -1.0157e+00 +3.3282e+00 -3.9157e+00 +3.6038e+00 -3.8876e+00
51 +1.765645323e+05 +1.765645323e+05 +1.755645323e+05 +1.755645323e+05 -2.1030e-01 -1.6813e+00 -3.7274e+00 -2.7166e+00 +1.4495e+00 +2.6281e+00 -1.8636e-01 -4.3504e+00 -1.6321e+00 +1.5081e+00 -3.1426e+00 -4.7896e+00 -1.7594e+00 +8.4643e-01 +1.3180e+00 +4.5187e-02 -4.9713e-01 -1.1133e+00 -4.8142e+00 -2.4662e+00
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.287381783e+05 +9.287381783e+05 +9.288367983e+05 +9.288367983e+05 -4.8707e+00 -5.5048e-01 -2.1789e+00 -9.1908e-01 +4.6456e+00 +3.8976e+00 -2.5137e+00 +1.3697e+00 +3.9851e+00 -3.9347e+00 +1.2296e+00 -8.7475e-01 -7.1680e-01 +3.9279e+00 -2.6339e+00 +6.5644e-01 +7.6914e-02 -1.8722e+00 -3.0110e+00 +4.8038e+00
5 +3.047881692e+05 +3.047881692e+05 +3.048867892e+05 +3.048867892e+05 -4.1877e+00 -2.4502e+00 -1.2732e+00 +3.2182e+00 +5.3441e-01 +3.4034e+00 -3.1768e+00 -2.4252e+00 +1.2102e+00 -3.3609e+00 -5.3151e-01 -3.0527e+00 -1.4309e+00 +6.3244e-01 -1.8107e+00 -2.3611e+00 -5.6839e-01 -2.0100e+00 -1.8280e+00 +4.8008e+00
21 +2.023618788e+05 +2.023618788e+05 +2.024604988e+05 +2.024604988e+05 +8.6192e-01 +1.4166e+00 +1.1953e+00 +8.2376e-01 -2.7023e+00 +4.0638e+00 -2.0873e+00 -3.6652e+00 -3.3058e+00 +2.6090e+00 +4.7999e+00 +7.2966e-01 -1.5016e+00 +1.2307e+00 -2.9780e+00 -6.5995e-01 +4.3639e+00 +2.7616e+00 -2.6461e-01 +7.1513e-02
